id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
S;SUL;2026-01-02 02:00:00;14975.394;195.273;54.28599999;1.0;10889.428;4336.52499999
NE;NORDESTE;2026-01-02 03:00:00;2941.608;672.73399999;3651.337;0.0;13838.086;-6572.407
N;NORTE;2026-01-02 03:00:00;9421.277;1571.249;289.437;0.0;7990.045;3291.918
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 03:00:00;59124.793;9510.253;4000.349;1.0;72636.4;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 03:00:00;31781.37499999;7076.983;8.47899999;0.0;40236.68799999;-1369.851
S;SUL;2026-01-02 03:00:00;14980.533;189.287;51.096;1.0;10571.57599999;4650.34
NE;NORDESTE;2026-01-02 04:00:00;2814.96599999;662.612;3757.76899999;16.66899999;13686.764;-6434.748
N;NORTE;2026-01-02 04:00:00;8501.402;1572.89199999;295.889;0.0;7793.266;2576.917
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 04:00:00;58051.981;9485.049;4111.424;34.41;71682.86;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 04:00:00;31835.824;7056.704;7.38;16.741;39784.637;-867.988
S;SUL;2026-01-02 04:00:00;14899.789;192.841;50.386;1.0;10418.197;4725.819
NE;NORDESTE;2026-01-02 05:00:00;2816.71599999;670.80999999;4172.70699999;481.64599999;13097.64399999;-4955.765
N;NORTE;2026-01-02 05:00:00;7052.797;1565.55799999;293.504;14.653;7625.681;1300.831
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 05:00:00;55825.432;9242.353;4531.198;1053.417;70652.4;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 05:00:00;31080.916;6815.118;7.005;457.676;39594.70499999;-1233.98999999
S;SUL;2026-01-02 05:00:00;14875.00299999;190.867;57.982;99.442;10334.36999999;4888.924
NE;NORDESTE;2026-01-02 06:00:00;2572.515;572.403;4030.725;4364.66999999;12319.859;-779.546
N;NORTE;2026-01-02 06:00:00;4634.207;1560.606;314.416;201.278;7441.549;-731.04199999
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 06:00:00;48367.658;8017.325;4433.109;9400.87;70218.96;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 06:00:00;27842.012;5703.003;8.085;4064.017;39895.352;-2278.23499999
S;SUL;2026-01-02 06:00:00;13318.92399999;181.313;79.883;770.905;10562.20199999;3788.823
NE;NORDESTE;2026-01-02 07:00:00;1955.906;564.63999999;4863.41399999;8521.498;12292.015;3613.443
N;NORTE;2026-01-02 07:00:00;3840.79;1546.036;275.273;661.885;7432.119;-1108.13499999
